content,isCorrect,questionId
fly,0,221
to fly,1,221
flying,0,221
flew,0,221
laundry,1,222
habit,0,222
town,0,222
planet,0,222
garden,0,223
to garden,0,223
gardening,1,223
gardens,0,223
worker,0,224
gardening,0,224
doctor,0,224
teaching,1,224
play,1,225
do,0,225
make,0,225
give,0,225
Can,0,226
Could,1,226
Did,0,226
Will,0,226
movies,1,227
robots,0,227
hedges,0,227
opinions,0,227
cut,0,228
lift,1,228
water,0,228
play,0,228
worker,0,229
dancer,0,229
doctor,1,229
minor,0,229
make,1,230
do,0,230
cut,0,230
have,0,230
planet,0,231
laundry,0,231
opinion,1,231
type,0,231
opinion,0,232
habit,0,232
dishes,0,232
station,1,232
recognize,1,233
guard,0,233
play,0,233
water,0,233
type,0,234
role,1,234
song,0,234
hegde,0,234
cut,0,235
cuts,1,235
cutting,0,235
to cut,0,235
Very,0,236
Too much,1,236
A little,0,236
Some,0,236
Do,0,237
Does,0,237
Make,0,237
Makes,1,237
Do,0,238
Replace,1,238
Recognize,0,238
Make,0,238
Can,1,239
Could,0,239
Will,0,239
Do,0,239
To recognize,1,240
Recognizing,0,240
Recognized,0,240
Recognizes,0,240
