content,isCorrect,questionId
comedian,0,121
cartoon characters,1,121
main character,0,121
channel,0,121
game show,0,122
talent show,1,122
programme,0,122
guide,0,122
comedian,0,123
game show,0,123
channel,0,123
documentary,1,123
schedule,1,124
series,0,124
volume button,0,124
channel,0,124
game show,1,125
documentary,0,125
cartoon,0,125
comedy,0,125
announce,0,126
broadcast,1,126
watch,0,126
entertain,0,126
cool,0,127
funny,1,127
cute,0,127
boring,0,127
MC,0,128
reporters,0,128
audiences,1,128
attendees,0,128
cool,1,129
stupid,0,129
clumsy,0,129
funny,0,129
viewer,0,130
performer,1,130
dolphin,0,130
player,0,130
educational,0,131
live,1,131
broadcast,0,131
good,0,131
compete,0,132
educate,0,132
discover,1,132
study,0,132
Who,0,133
What,1,133
When,0,133
Why,0,133
Who,1,134
What,0,134
When,0,134
Why,0,134
Who,0,135
What,0,135
When,0,135
How,1,135
When,0,136
Where,1,136
Why,0,136
How,0,136
When,0,137
Where,0,137
Why,1,137
How,0,137
When,1,138
Where,0,138
Why,0,138
How,0,138
When,0,139
How often,1,139
How long,0,139
How much,0,139
When,0,140
How often,0,140
How long,1,140
How much,0,140
